temperatura,tiempo,fecha,hora,minutos
58.522823333740234,2024-03-09 22:06:38+03:00,2024-03-09,22,0
57.71920394897461,2024-03-09 22:36:38+03:00,2024-03-09,22,30
56.634521484375,2024-03-09 23:06:38+03:00,2024-03-09,23,0
56.408775329589844,2024-03-09 23:36:38+03:00,2024-03-09,23,30
55.38948059082031,2024-03-10 00:06:38+03:00,2024-03-10,0,0
54.56526184082031,2024-03-10 00:36:38+03:00,2024-03-10,0,30
53.44388198852539,2024-03-10 01:06:38+03:00,2024-03-10,1,0
52.14081573486328,2024-03-10 01:36:38+03:00,2024-03-10,1,30
51.30000305175781,2024-03-10 02:06:38+03:00,2024-03-10,2,0
50.532188415527344,2024-03-10 02:36:38+03:00,2024-03-10,2,30
49.54671096801758,2024-03-10 03:06:38+03:00,2024-03-10,3,0
48.59724044799805,2024-03-10 03:36:38+03:00,2024-03-10,3,30
47.96485137939453,2024-03-10 04:06:38+03:00,2024-03-10,4,0
47.566951751708984,2024-03-10 04:36:38+03:00,2024-03-10,4,30
46.898258209228516,2024-03-10 05:06:38+03:00,2024-03-10,5,0
46.3780403137207,2024-03-10 05:36:38+03:00,2024-03-10,5,30
46.01314163208008,2024-03-10 06:06:38+03:00,2024-03-10,6,0
46.055233001708984,2024-03-10 06:36:38+03:00,2024-03-10,6,30
46.09732437133789,2024-03-10 07:06:38+03:00,2024-03-10,7,0
46.13941192626953,2024-03-10 07:36:38+03:00,2024-03-10,7,30
46.18150329589844,2024-03-10 08:06:38+03:00,2024-03-10,8,0
46.731380462646484,2024-03-10 08:36:38+03:00,2024-03-10,8,30
47.95505142211914,2024-03-10 09:06:38+03:00,2024-03-10,9,0
48.639549255371094,2024-03-10 09:36:38+03:00,2024-03-10,9,30
49.44456100463867,2024-03-10 10:06:38+03:00,2024-03-10,10,0
50.14285659790039,2024-03-10 10:36:38+03:00,2024-03-10,10,30
51.11018753051758,2024-03-10 11:06:38+03:00,2024-03-10,11,0
51.606285095214844,2024-03-10 11:36:38+03:00,2024-03-10,11,30
52.37167739868164,2024-03-10 12:06:38+03:00,2024-03-10,12,0
52.684818267822266,2024-03-10 12:36:38+03:00,2024-03-10,12,30
52.644107818603516,2024-03-10 13:06:38+03:00,2024-03-10,13,0
52.600189208984375,2024-03-10 13:36:38+03:00,2024-03-10,13,30
52.71280288696289,2024-03-10 14:06:38+03:00,2024-03-10,14,0
52.81754684448242,2024-03-10 14:36:38+03:00,2024-03-10,14,30
52.91746520996094,2024-03-10 15:06:38+03:00,2024-03-10,15,0
52.999542236328125,2024-03-10 15:36:38+03:00,2024-03-10,15,30
53.12457275390625,2024-03-10 16:06:38+03:00,2024-03-10,16,0
53.602535247802734,2024-03-10 16:36:38+03:00,2024-03-10,16,30
53.8879508972168,2024-03-10 17:06:38+03:00,2024-03-10,17,0
54.21213150024414,2024-03-10 17:36:38+03:00,2024-03-10,17,30
54.73582077026367,2024-03-10 18:06:38+03:00,2024-03-10,18,0
55.143001556396484,2024-03-10 18:36:38+03:00,2024-03-10,18,30
55.37337875366211,2024-03-10 19:06:38+03:00,2024-03-10,19,0
55.860450744628906,2024-03-10 19:36:38+03:00,2024-03-10,19,30
56.4907341003418,2024-03-10 20:06:38+03:00,2024-03-10,20,0
56.9535026550293,2024-03-10 20:36:38+03:00,2024-03-10,20,30
57.05319595336914,2024-03-10 21:06:38+03:00,2024-03-10,21,0
57.92192840576172,2024-03-10 21:36:38+03:00,2024-03-10,21,30
58.346153259277344,2024-03-10 22:06:38+03:00,2024-03-10,22,0
58.6472053527832,2024-03-10 22:36:38+03:00,2024-03-10,22,30
58.64213562011719,2024-03-10 23:06:38+03:00,2024-03-10,23,0
58.57365417480469,2024-03-10 23:36:38+03:00,2024-03-10,23,30
58.50517272949219,2024-03-11 00:06:38+03:00,2024-03-11,0,0
58.43934631347656,2024-03-11 00:36:38+03:00,2024-03-11,0,30
58.32563018798828,2024-03-11 01:06:38+03:00,2024-03-11,1,0
58.157257080078125,2024-03-11 01:36:38+03:00,2024-03-11,1,30
58.05657196044922,2024-03-11 02:06:38+03:00,2024-03-11,2,0
56.74953079223633,2024-03-11 02:36:38+03:00,2024-03-11,2,30
56.51912307739258,2024-03-11 03:06:38+03:00,2024-03-11,3,0
55.82272720336914,2024-03-11 03:36:38+03:00,2024-03-11,3,30
55.61544418334961,2024-03-11 04:06:38+03:00,2024-03-11,4,0
55.502201080322266,2024-03-11 04:36:38+03:00,2024-03-11,4,30
54.755897521972656,2024-03-11 05:06:38+03:00,2024-03-11,5,0
54.53645324707031,2024-03-11 05:36:38+03:00,2024-03-11,5,30
54.334068298339844,2024-03-11 06:06:38+03:00,2024-03-11,6,0
54.39613723754883,2024-03-11 06:36:38+03:00,2024-03-11,6,30
54.45820617675781,2024-03-11 07:06:38+03:00,2024-03-11,7,0
54.5,2024-03-11 07:36:38+03:00,2024-03-11,7,30
51.496402740478516,2024-03-11 08:06:38+03:00,2024-03-11,8,0
53.57594299316406,2024-03-11 08:36:38+03:00,2024-03-11,8,30
54.890323638916016,2024-03-11 09:06:38+03:00,2024-03-11,9,0
55.86153793334961,2024-03-11 09:36:38+03:00,2024-03-11,9,30
56.89885711669922,2024-03-11 10:06:38+03:00,2024-03-11,10,0
57.851444244384766,2024-03-11 10:36:38+03:00,2024-03-11,10,30
59.23030471801758,2024-03-11 11:06:38+03:00,2024-03-11,11,0
60.76007843017578,2024-03-11 11:36:38+03:00,2024-03-11,11,30
